Company Name,Industry,Symbol,Series,ISIN Code,BSE_Ticker,Ticker
Firstsource Solutions Ltd.,Information Technology,FSL,EQ,INE684F01012,532809,FSL.NS
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013,532843,FORTIS.NS
G R Infraprojects Ltd.,Construction,GRINFRA,EQ,INE201P01022,543317,GRINFRA.NS
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,532155,GAIL.NS
GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR,EQ,INE541A01023,505255,GMMPFAUDLR.NS
Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF,EQ,INE600K01018,540935,GALAXYSURF.NS
Garware Technical Fibres Ltd.,Textiles,GARFIBRES,EQ,INE276A01018,509557,GARFIBRES.NS
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014,540755,GICRE.NS
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023,543245,GLAND.NS
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016,500660,GLAXO.NS
Glenmark Life Sciences Ltd.,Healthcare,GLS,EQ,INE03Q201024,543322,GLS.NS
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035,532296,GLENMARK.NS
Go Fashion (India) Ltd.,Consumer Services,GOCOLORS,EQ,INE0BJS01011,543401,GOCOLORS.NS
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028,500163,GODFRYPHLP.NS
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,EQ,INE850D01014,540743,GODREJAGRO.NS
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,532424,GODREJCP.NS
Godrej Industries Ltd.,Fast Moving Consumer Goods,GODREJIND,EQ,INE233A01035,500164,GODREJIND.NS
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,533150,GODREJPROP.NS
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020,532482,GRANULES.NS
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025,509488,GRAPHITE.NS
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,500300,GRASIM.NS
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032,500620,GESHIP.NS
Grindwell Norton Ltd.,Capital Goods,GRINDWELL,EQ,INE536A01023,506076,GRINDWELL.NS
Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI,EQ,INE186A01019,530001,GUJALKALI.NS
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL,EQ,INE036B01030,524226,GAEL.NS
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,BE,INE09N301011,542812,FLUOROCHEM.NS
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030,539336,GUJGASLTD.NS
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,EQ,INE113A01013,500670,GNFC.NS
Gujarat Pipavav Port Ltd.,Services,GPPL,EQ,INE517F01014,533248,GPPL.NS
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC,EQ,INE026A01025,500690,GSFC.NS
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010,532702,GSPL.NS
H.E.G. Ltd.,Capital Goods,HEG,EQ,INE545A01016,509631,HEG.NS
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,532281,HCLTECH.NS
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,541729,HDFCAMC.NS
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,500180,HDFCBANK.NS
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,540777,HDFCLIFE.NS
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028,500183,HFCL.NS
HLE Glascoat Ltd.,Capital Goods,HLEGLAS,EQ,INE461D01010,522215,HLEGLAS.NS
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ,INE419U01012,543227,HAPPSTMNDS.NS
Hathway Cable & Datacom Ltd.,Media Entertainment & Publication,HATHWAY,EQ,INE982F01036,533162,HATHWAY.NS
Hatsun Agro Product Ltd.,Fast Moving Consumer Goods,HATSUN,EQ,INE473B01035,531531,HATSUN.NS
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,517354,HAVELLS.NS
Hemisphere Properties India Ltd.,Realty,HEMIPROP,EQ,INE0AJG01018,543242,HEMIPROP.NS
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,500182,HEROMOTOCO.NS
Hikal Ltd.,Healthcare,HIKAL,EQ,INE475B01022,524735,HIKAL.NS
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,500440,HINDALCO.NS
Hinduja Global Solutions Ltd.,Services,HGS,EQ,INE170I01016,532859,HGS.NS
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01012,541154,HAL.NS
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026,513599,HINDCOPPER.NS
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,500104,HINDPETRO.NS
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,500696,HINDUNILVR.NS
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,500188,HINDZINC.NS
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011,543187,POWERINDIA.NS
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,EQ,INE481N01025,543259,HOMEFIRST.NS
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010,517174,HONAUT.NS
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017,540530,HUDCO.NS
Housing Development Finance Corporation Ltd.,Financial Services,HDFC,EQ,INE001A01036,500010,HDFC.NS
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,532174,ICICIBANK.NS
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,540716,ICICIGI.NS
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,540133,ICICIPRULI.NS
ICICI Securities Ltd.,Financial Services,ISEC,EQ,INE763G01038,541179,ISEC.NS
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015,500116,IDBI.NS
