Company Name,Symbol,NSE Ticker
JM Financial Ltd.,JMFINANCIL,JMFINANCIL.NS
JSW Energy Ltd.,JSWENERGY,JSWENERGY.NS
JSW Steel Ltd.,JSWSTEEL,JSWSTEEL.NS
Jamna Auto Industries Ltd.,JAMNAAUTO,JAMNAAUTO.NS
Jindal Stainless (Hisar) Ltd.,JSLHISAR,JSLHISAR.NS
Jindal Stainless Ltd.,JSL,JSL.NS
Jindal Steel & Power Ltd.,JINDALSTEL,JINDALSTEL.NS
Jubilant Foodworks Ltd.,JUBLFOOD,JUBLFOOD.NS
Jubilant Ingrevia Ltd.,JUBLINGREA,JUBLINGREA.NS
Jubilant Pharmova Ltd.,JUBLPHARMA,JUBLPHARMA.NS
Justdial Ltd.,JUSTDIAL,JUSTDIAL.NS
Jyothy Labs Ltd.,JYOTHYLAB,JYOTHYLAB.NS
K.P.R. Mill Ltd.,KPRMILL,KPRMILL.NS
KEI Industries Ltd.,KEI,KEI.NS
KNR Constructions Ltd.,KNRCON,KNRCON.NS
KPIT Technologies Ltd.,KPITTECH,KPITTECH.NS
KRBL Ltd.,KRBL,KRBL.NS
Kajaria Ceramics Ltd.,KAJARIACER,KAJARIACER.NS
Kalpataru Power Transmission Ltd.,KALPATPOWR,KALPATPOWR.NS
Kalyan Jewellers India Ltd.,KALYANKJIL,KALYANKJIL.NS
Kansai Nerolac Paints Ltd.,KANSAINER,KANSAINER.NS
Karur Vysya Bank Ltd.,KARURVYSYA,KARURVYSYA.NS
Kec International Ltd.,KEC,KEC.NS
Kotak Mahindra Bank Ltd.,KOTAKBANK,KOTAKBANK.NS
Krishna Institute of Medical Sciences Ltd.,KIMS,KIMS.NS
L&T Finance Holdings Ltd.,L&TFH,L&TFH.NS
L&T Technology Services Ltd.,LTTS,LTTS.NS
LIC Housing Finance Ltd.,LICHSGFIN,LICHSGFIN.NS
Lakshmi Machine Works Ltd.,LAXMIMACH,LAXMIMACH.NS
Larsen & Toubro Infotech Ltd.,LTI,LTI.NS
Larsen & Toubro Ltd.,LT,LT.NS
Latent View Analytics Ltd.,LATENTVIEW,LATENTVIEW.NS
Laurus Labs Ltd.,LAURUSLABS,LAURUSLABS.NS
Laxmi Organic Industries Ltd.,LXCHEM,LXCHEM.NS
Linde India Ltd.,LINDEINDIA,LINDEINDIA.NS
Lupin Ltd.,LUPIN,LUPIN.NS
Lux Industries Ltd.,LUXIND,LUXIND.NS
MMTC Ltd.,MMTC,MMTC.NS
MOIL Ltd.,MOIL,MOIL.NS
MRF Ltd.,MRF,MRF.NS
MTAR Technologies Ltd.,MTARTECH,MTARTECH.NS
Macrotech Developers Ltd.,LODHA,LODHA.NS
Mahanagar Gas Ltd.,MGL,MGL.NS
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,M&MFIN.NS
Mahindra & Mahindra Ltd.,M&M,M&M.NS
Mahindra CIE Automotive Ltd.,MAHINDCIE,MAHINDCIE.NS
Mahindra Holidays & Resorts India Ltd.,MHRIL,MHRIL.NS
Mahindra Logistics Ltd.,MAHLOG,MAHLOG.NS
Manappuram Finance Ltd.,MANAPPURAM,MANAPPURAM.NS
Mangalore Refinery & Petrochemicals Ltd.,MRPL,MRPL.NS
Marico Ltd.,MARICO,MARICO.NS
Maruti Suzuki India Ltd.,MARUTI,MARUTI.NS
Mastek Ltd.,MASTEK,MASTEK.NS
Max Financial Services Ltd.,MFSL,MFSL.NS
Max Healthcare Institute Ltd.,MAXHEALTH,MAXHEALTH.NS
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,MAZDOCK.NS
Medplus Health Services Ltd.,MEDPLUS,MEDPLUS.NS
Metro Brands Ltd.,METROBRAND,METROBRAND.NS
Metropolis Healthcare Ltd.,METROPOLIS,METROPOLIS.NS
MindTree Ltd.,MINDTREE,MINDTREE.NS
Minda Industries Ltd.,MINDAIND,MINDAIND.NS
Motilal Oswal Financial Services Ltd.,MOTILALOFS,MOTILALOFS.NS
MphasiS Ltd.,MPHASIS,MPHASIS.NS
Multi Commodity Exchange of India Ltd.,MCX,MCX.NS
Muthoot Finance Ltd.,MUTHOOTFIN,MUTHOOTFIN.NS
NATCO Pharma Ltd.,NATCOPHARM,NATCOPHARM.NS
NBCC (India) Ltd.,NBCC,NBCC.NS
NCC Ltd.,NCC,NCC.NS
NESCO Ltd.,NESCO,NESCO.NS
NHPC Ltd.,NHPC,NHPC.NS
NLC India Ltd.,NLCINDIA,NLCINDIA.NS
NMDC Ltd.,NMDC,NMDC.NS
NOCIL Ltd.,NOCIL,NOCIL.NS
NTPC Ltd.,NTPC,NTPC.NS
Narayana Hrudayalaya Ltd.,NH,NH.NS
National Aluminium Co. Ltd.,NATIONALUM,NATIONALUM.NS
Navin Fluorine International Ltd.,NAVINFLUOR,NAVINFLUOR.NS
Nazara Technologies Ltd.,NAZARA,NAZARA.NS
Nestle India Ltd.,NESTLEIND,NESTLEIND.NS
Network18 Media & Investments Ltd.,NETWORK18,NETWORK18.NS
Nippon Life India Asset Management Ltd.,NAM-INDIA,NAM-INDIA.NS
Nuvoco Vistas Corporation Ltd.,NUVOCO,NUVOCO.NS
Oberoi Realty Ltd.,OBEROIRLTY,OBEROIRLTY.NS
Oil & Natural Gas Corporation Ltd.,ONGC,ONGC.NS
Oil India Ltd.,OIL,OIL.NS
One 97 Communications Ltd.,PAYTM,PAYTM.NS
Oracle Financial Services Software Ltd.,OFSS,OFSS.NS
Orient Electric Ltd.,ORIENTELEC,ORIENTELEC.NS
PB Fintech Ltd.,POLICYBZR,POLICYBZR.NS
PCBL Ltd.,PCBL,PCBL.NS
PI Industries Ltd.,PIIND,PIIND.NS
PNB Housing Finance Ltd.,PNBHOUSING,PNBHOUSING.NS
PNC Infratech Ltd.,PNCINFRA,PNCINFRA.NS
PVR Ltd.,PVR,PVR.NS
Page Industries Ltd.,PAGEIND,PAGEIND.NS
Persistent Systems Ltd.,PERSISTENT,PERSISTENT.NS
Petronet LNG Ltd.,PETRONET,PETRONET.NS
Pfizer Ltd.,PFIZER,PFIZER.NS
Phoenix Mills Ltd.,PHOENIXLTD,PHOENIXLTD.NS
Pidilite Industries Ltd.,PIDILITIND,PIDILITIND.NS
Piramal Enterprises Ltd.,PEL,PEL.NS
Poly Medicure Ltd.,POLYMED,POLYMED.NS
Polycab India Ltd.,POLYCAB,POLYCAB.NS
Polyplex Corporation Ltd.,POLYPLEX,POLYPLEX.NS
Poonawalla Fincorp Ltd.,POONAWALLA,POONAWALLA.NS
Power Finance Corporation Ltd.,PFC,PFC.NS
Power Grid Corporation of India Ltd.,POWERGRID,POWERGRID.NS
Praj Industries Ltd.,PRAJIND,PRAJIND.NS
Prestige Estates Projects Ltd.,PRESTIGE,PRESTIGE.NS
Prince Pipes and Fittings Ltd.,PRINCEPIPE,PRINCEPIPE.NS
Prism Johnson Ltd.,PRSMJOHNSN,PRSMJOHNSN.NS
Privi Speciality Chemicals Ltd.,PRIVISCL,PRIVISCL.NS
Procter & Gamble Health Ltd.,PGHL,PGHL.NS
Procter & Gamble Hygiene & Health Care Ltd.,PGHH,PGHH.NS
Punjab National Bank,PNB,PNB.NS
Quess Corp Ltd.,QUESS,QUESS.NS
RBL Bank Ltd.,RBLBANK,RBLBANK.NS
REC Ltd.,RECLTD,RECLTD.NS
RHI MAGNESITA INDIA LTD.,RHIM,RHIM.NS
RITES Ltd.,RITES,RITES.NS
Radico Khaitan Ltd,RADICO,RADICO.NS
Rail Vikas Nigam Ltd.,RVNL,RVNL.NS
Railtel Corporation Of India Ltd.,RAILTEL,RAILTEL.NS
Rain Industries Ltd,RAIN,RAIN.NS
Rajesh Exports Ltd.,RAJESHEXPO,RAJESHEXPO.NS
Rallis India Ltd.,RALLIS,RALLIS.NS
Rashtriya Chemicals & Fertilizers Ltd.,RCF,RCF.NS
Ratnamani Metals & Tubes Ltd.,RATNAMANI,RATNAMANI.NS
RattanIndia Enterprises Ltd.,RTNINDIA,RTNINDIA.NS
Redington (India) Ltd.,REDINGTON,REDINGTON.NS
Relaxo Footwears Ltd.,RELAXO,RELAXO.NS
Reliance Industries Ltd.,RELIANCE,RELIANCE.NS
Restaurant Brands Asia Ltd.,RBA,RBA.NS
Rossari Biotech Ltd.,ROSSARI,ROSSARI.NS
Route Mobile Ltd.,ROUTE,ROUTE.NS
SBI Cards and Payment Services Ltd.,SBICARD,SBICARD.NS
SBI Life Insurance Company Ltd.,SBILIFE,SBILIFE.NS
SIS Ltd.,SIS,SIS.NS
SJVN Ltd.,SJVN,SJVN.NS
SKF India Ltd.,SKFINDIA,SKFINDIA.NS
